"V1","exp","Q18_1","Q18_2","Q18_3","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q39_1","Q62","Q63"
"R_07iNLvktmW6ewxD","1",17,38,71,20,12,5,25,37,66,81,55,15,28
"R_07iNLvktmW6ewxD","4",25,61,82,3,3,2,5,50,90,100,32,2,5
"R_07iNLvktmW6ewxD","5",16,55,88,9,10,3,19,39,75,94,55,2,20
"R_07iNLvktmW6ewxD","6",17,32,74,5,7,0,10,11,45,85,15,0,10
"R_07iNLvktmW6ewxD","7",43,74,96,60,180,60,320,33,68,100,54,10,120
"R_07iNLvktmW6ewxD","8",19,37,62,210,500,180,600,19,35,65,36,180,360
"R_07iNLvktmW6ewxD","9",15,44,77,7,6,2,10,25,52,92,56,3,9
"R_0O3ByLfCEQQYZHn","1",50,80,97,5,2,1,4,37,79,90,72,3,7
"R_0O3ByLfCEQQYZHn","11",20,41,90,4,3,2,4,10,31,85,49,3,5
"R_0O3ByLfCEQQYZHn","5",70,79,90,7,7,3,9,70,80,90,69,3,9
"R_0O3ByLfCEQQYZHn","6",30,54,61,3,4,3,5,30,48,82,30,2,6
"R_0O3ByLfCEQQYZHn","7",11,27,37,5,10,8,15,33,51,83,69,3,8
"R_0O3ByLfCEQQYZHn","8",10,31,40,50,60,50,90,21,51,83,72,40,70
"R_0O3ByLfCEQQYZHn","9",50,61,89,3,3,1,5,60,70,90,80,1,5
"R_0xgKQkrCnBKMZIV","1",59,50,60,8,10,2,15,50,50,50,70,2,12
"R_0xgKQkrCnBKMZIV","11",21,40,60,4,3,1,5,21,31,50,60,1,5
"R_0xgKQkrCnBKMZIV","4",40,60,80,2,2,1,5,60,80,90,60,1,5
"R_0xgKQkrCnBKMZIV","5",20,50,80,5,10,1,20,20,50,80,70,1,10
"R_0xgKQkrCnBKMZIV","6",30,40,50,5,6,2,10,50,60,70,30,2,8
"R_0xgKQkrCnBKMZIV","7",30,51,40,7,10,2,20,30,50,60,50,1,15
"R_0xgKQkrCnBKMZIV","8",20,50,60,600,900,500,1500,30,50,70,20,300,900
"R_0xgKQkrCnBKMZIV","9",20,50,80,5,5,1,10,20,50,80,80,1,10
"R_1ENxPEiuoDHVhNH","1",90,50,100,15,15,0,30,85,50,12,45,0,30
"R_1ENxPEiuoDHVhNH","11",10,50,80,5,5,0,5,11,51,81,50,0,5
"R_1ENxPEiuoDHVhNH","4",30,60,90,3,3,1,5,30,60,90,10,1,5
"R_1ENxPEiuoDHVhNH","5",20,51,91,15,10,0,20,11,51,91,70,0,20
"R_1ENxPEiuoDHVhNH","6",20,50,80,5,5,1,10,20,50,80,8,0,10
"R_1ENxPEiuoDHVhNH","7",50,80,97,8,8,1,30,50,80,100,11,1,30
"R_1ENxPEiuoDHVhNH","8",30,50,80,600,600,300,1200,40,50,80,31,300,1200
"R_1ENxPEiuoDHVhNH","9",31,50,86,5,5,0,10,30,90,96,45,0,10
"R_1OddpILnbeAsRaR","1",50,50,50,5,2,0,10,20,50,89,50,0,30
"R_1OddpILnbeAsRaR","11",50,50,50,4,3,1,5,30,50,70,50,1,5
"R_1OddpILnbeAsRaR","4",50,50,50,3,3,3,5,50,50,50,50,2,4
"R_1OddpILnbeAsRaR","5",39,70,100,8,9,6,13,40,70,100,50,3,12
"R_1OddpILnbeAsRaR","6",50,50,50,6,8,5,10,50,50,50,50,1,10
"R_1OddpILnbeAsRaR","7",50,50,50,14,40,30,60,50,50,50,50,5,40
"R_1OddpILnbeAsRaR","8",50,50,50,2400,2400,1200,3000,50,50,50,50,1200,3600
"R_1OddpILnbeAsRaR","9",20,50,80,6,8,3,10,20,50,80,50,1,10
"R_2atuvlmI7hiitjn","1",13,47,80,15,15,0,30,13,47,80,50,0,30
"R_2atuvlmI7hiitjn","11",0,40,60,4,3,1,5,0,40,60,100,0,5
"R_2atuvlmI7hiitjn","4",20,40,60,3,2,1,5,20,40,60,50,1,5
"R_2atuvlmI7hiitjn","5",10,40,70,8,8,5,15,10,40,70,50,5,15
"R_2atuvlmI7hiitjn","6",10,40,70,4,6,0,10,10,40,70,80,0,10
"R_2atuvlmI7hiitjn","7",10,40,70,5,6,0,10,10,40,70,50,0,10
"R_2atuvlmI7hiitjn","8",15,48,82,60,60,30,90,15,48,82,20,30,90
"R_2atuvlmI7hiitjn","9",0,0,60,5,9,6,10,20,50,80,50,1,10
"R_2o4uoMjCjPhv9UF","1",13,25,40,8,7,2,10,13,26,40,83,3,15
"R_2o4uoMjCjPhv9UF","4",0,33,66,2,1,1,3,0,33,66,50,1,3
"R_2o4uoMjCjPhv9UF","5",15,20,25,5,10,8,16,15,20,25,28,3,7
"R_2o4uoMjCjPhv9UF","6",0,20,30,3,4,3,6,0,20,40,15,0,5
"R_2o4uoMjCjPhv9UF","7",47,71,95,600,540,240,840,44,66,88,60,300,900
"R_2o4uoMjCjPhv9UF","8",30,50,70,3000,3600,1800,4500,37,62,87,80,900,3600
"R_2o4uoMjCjPhv9UF","9",40,60,80,6,7,5,9,40,60,70,70,4,9
"R_2toGRjngZmcHjlb","1",8,27,88,18,25,15,28,35,65,85,65,6,25
"R_2toGRjngZmcHjlb","11",2,75,100,4,5,3,5,20,75,100,90,3,5
"R_2toGRjngZmcHjlb","4",10,30,96,5,6,4,8,20,50,90,50,2,6
"R_2toGRjngZmcHjlb","5",10,30,85,9,12,8,18,45,64,95,40,3,16
"R_2toGRjngZmcHjlb","6",57,66,89,3,6,3,7,46,75,93,76,1,7
"R_2toGRjngZmcHjlb","7",11,23,34,20,20,15,30,11,23,34,80,5,40
"R_2toGRjngZmcHjlb","8",65,90,100,20,20,10,20,20,86,100,20,10,50
"R_2toGRjngZmcHjlb","9",65,75,86,7,7,5,8,50,70,80,93,4,9
"R_3b0apUwIcH7Imyh","1",21,42,72,12,16,9,22,33,72,96,77,8,21
"R_3b0apUwIcH7Imyh","11",44,68,90,4,4,2,4,21,53,79,88,2,5
"R_3b0apUwIcH7Imyh","5",13,32,52,8,11,4,15,21,42,61,73,2,14
"R_3b0apUwIcH7Imyh","6",16,55,84,7,7,1,9,18,55,84,12,1,9
"R_3b0apUwIcH7Imyh","7",32,59,78,128,168,86,215,33,62,84,11,54,196
"R_3b0apUwIcH7Imyh","8",56,85,96,260,240,120,400,42,73,92,10,120,520
"R_3b0apUwIcH7Imyh","9",51,82,96,7,5,2,8,42,74,96,55,3,9
"R_3Pr5GJRK1PlmClD","1",50,70,90,5,5,2,15,70,85,90,20,0,15
"R_3Pr5GJRK1PlmClD","11",20,60,80,4,3,1,5,30,60,80,50,2,5
"R_3Pr5GJRK1PlmClD","4",1,35,99,3,3,2,4,0,35,99,60,2,4
"R_3Pr5GJRK1PlmClD","5",15,55,70,7,8,0,17,15,60,85,10,0,15
"R_3Pr5GJRK1PlmClD","7",40,80,90,5,5,3,10,25,80,90,25,3,10
