countries,murderrate,percent_pastures,gini_usethis,GNPpercapita,Cookd,dffits,eliminate cooks,eliminate dffits,eliminate by univar
Albania,5.68,0.162408759,28.2,5500,0.0072,-0.1697,0,0,0
Algeria,1.43,0.133637593,35.3,8100,0.0043,-0.1308,0,0,0
Argentina,9.47,0.364929897,52.2,13000,0.005,-0.1409,0,0,0
Armenia,2.46,0.296099291,37.9,5700,0.0015,-0.0776,0,0,0
Australia,1.31,0.53096078,35.2,37500,0.0004,-0.0379,0,0,0
Austria,0.81,0.232868405,30,39000,0.0059,0.1536,0,0,0
Azerbaijan_Republic_of,2.44,0.324193451,36.5,9000,0.0003,-0.0353,0,0,0
Belarus,8.22,0.144351263,30.4,10200,0.0015,0.0779,0,0,0
Belgium,2.07,0.167714191,25,36500,0.0105,-0.2045,0,0,0
Bulgaria,3.04,0.163066076,31.9,11800,0,-0.0075,0,0,0
Canada,1.99,0.016973644,33.1,38200,0.0009,-0.0599,0,0,0
Chile,1.75,0.172676282,57.1,14400,0.002,0.0884,0,0,0
China,2.12,0.428841445,44.7,5300,0.0001,-0.0195,0,0,0
Costa_Rica,6.47,0.458284371,46.5,13500,0.0021,0.0919,0,0,0
C™te_d'Ivoire,4.07,0.408805031,45.2,1800,0.0026,-0.102,0,0,0
Croatia,1.84,0.280758226,29,15500,0.0062,-0.1575,0,0,0
Cyprus,1.74,0.004329004,29,27100,0.0002,-0.0278,0,0,0
Czech_Republic,2.22,0.124369095,25.4,24400,0.0018,-0.0851,0,0,0
Ecuador,18.87,0.183752348,43.7,7100,0.0014,0.0737,0,0,0
El_Salvador,31.54,0.383204633,53.2,5200,0.0001,-0.0146,0,0,0
Estonia,6.75,0.030903515,37.2,21800,0.0056,-0.1487,0,0,0
Finland,2.77,0.000853606,26.9,35500,0.001,-0.0634,0,0,0
France,1.66,0.184039266,32.7,33800,0.0003,0.0355,0,0,0
Georgia,6.09,0.278889049,36.9,4200,0.0001,-0.0184,0,0,0
Germany,0.98,0.144737219,28.3,34400,0.0052,-0.1444,0,0,0
Greece,0.76,0.362684251,35.4,30500,0.0001,-0.02,0,0,0
Guatemala,25.47,0.239970488,48.3,5400,0.0162,0.2569,0,0,0
Hungary,2.08,0.11727293,24.4,19500,0,-0.01,0,0,0
Iceland,1.05,0.226832918,25,39400,0.0048,-0.1382,0,0,0
India,3.72,0.037131835,32.5,2700,0.005,-0.1405,0,0,0
Indonesia,1.05,0.061697864,34.3,3400,0.0004,0.0412,0,0,0
Iran_Islamic_Rep_of,2.98,0.286144116,43,12300,0.0026,0.1011,0,0,0
Ireland,0.94,0.483814777,35.9,45600,0.0014,-0.0735,0,0,0
Israel,2.73,0.065619224,35.5,28800,0.0001,-0.0177,0,0,0
