subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
149,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,30,31,32,34,35,36,37,38,39,,,,,
109,1,2,4,5,6,7,8,9,9,10,12,13,14,15,16,16,17,18,21,21,23,23,24,,,,,,,,,,,,,,,,,
133,1,2,4,5,6,7,9,10,12,13,14,16,17,18,19,21,21,24,25,27,28,29,30,32,34,35,36,37,39,40,41,42,43,45,46,47,49,,,
166,1,2,3,3,4,5,6,7,8,9,10,12,14,15,16,17,18,19,20,21,23,24,25,26,27,27,29,30,31,31,33,35,36,37,38,,,,,
157,1,2,3,4,5,7,8,8,10,12,13,14,15,16,17,18,19,21,23,24,25,25,26,28,29,30,30,31,32,34,35,36,38,39,42,42,43,,,
225,1,2,2,4,4,5,6,7,7,9,10,10,12,13,14,16,16,17,18,19,19,21,23,24,25,26,27,28,29,30,31,31,32,34,36,37,,,,
227,2,2,3,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,23,24,25,26,28,29,30,31,32,34,35,37,38,39,40,41,42,43,45,46,48,41
121,1,1,1,2,3,4,5,5,6,7,8,9,9,10,12,13,14,14,15,16,17,18,18,19,20,20,21,21,23,24,24,25,,,,,,,,
147,1,2,3,4,4,5,6,7,8,9,10,13,14,15,16,17,18,18,19,21,22,24,25,26,27,28,28,29,29,30,32,33,35,36,37,,,,,
179,1,2,3,4,6,7,8,8,10,11,12,14,14,16,17,18,19,20,21,24,25,26,27,29,30,31,32,34,35,36,36,38,38,39,40,,,,,
233,1,2,3,4,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,25,25,26,28,29,30,,,,,,,,,,,,,,
190,1,2,3,4,5,6,7,8,9,9,10,13,14,14,15,16,17,19,19,20,21,23,24,25,27,28,,,,,,,,,,,,,,
123,2,2,4,5,6,8,9,10,13,14,15,16,17,18,20,20,22,23,24,25,26,27,28,29,31,32,34,36,36,,,,,,,,,,,
209,3,4,5,7,9,13,16,18,18,19,21,23,24,25,26,28,31,34,34,37,38,38,39,40,41,42,43,45,46,47,49,50,51,52,,,,,,
243,2,3,3,4,5,6,7,8,9,10,12,12,13,14,15,16,17,18,19,20,21,21,23,24,25,25,26,28,29,29,30,31,32,34,35,36,36,38,,
258,1,2,3,4,5,5,6,7,8,9,10,10,12,14,15,15,17,17,18,19,20,21,23,24,25,26,26,28,29,30,31,32,,,,,,,,
280,3,4,5,6,7,8,9,10,12,13,14,15,15,16,17,18,19,21,21,23,24,24,26,27,28,29,30,30,31,33,35,36,37,,,,,,,
192,2,2,3,4,5,5,6,7,8,9,10,12,12,13,14,15,16,16,17,18,19,20,21,24,25,25,26,27,28,28,29,30,31,31,32,34,34,35,,
265,1,3,4,5,6,8,9,10,12,13,15,16,17,18,20,21,23,24,26,27,28,29,31,32,34,35,36,37,39,40,41,42,44,46,47,,,,,
266,1,2,2,3,4,6,7,9,9,12,13,15,15,16,16,16,16,18,20,22,23,23,26,26,26,26,,,,,,,,,,,,,,
272,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,20,21,23,25,26,27,28,29,30,31,32,34,35,36,36,38,,,,,
349,2,3,3,5,6,7,7,9,10,10,12,13,15,16,17,17,18,19,20,21,22,24,25,25,27,28,29,29,30,31,32,34,35,36,,,,,,
282,2,2,3,4,5,5,6,7,8,8,10,11,12,12,13,14,15,16,17,18,19,20,21,21,,,,,,,,,,,,,,,,
312,1,2,3,4,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,24,25,26,27,28,29,30,31,32,35,36,37,38,39,40,41,,,,,
343,1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,17,18,19,20,21,23,24,25,26,28,29,30,31,32,34,35,36,37,37,38,,,,,
357,1,2,3,4,5,7,7,8,9,10,12,13,14,15,16,17,18,19,20,20,21,23,24,25,27,28,29,29,31,32,34,34,35,37,37,,,,,
386,1,2,3,4,5,6,7,7,8,8,9,10,13,13,14,15,16,17,18,19,20,21,23,24,25,26,27,29,30,31,31,32,34,35,36,,,,,
407,1,3,5,6,7,8,9,11,13,14,15,17,18,19,21,23,24,26,27,28,30,31,32,35,37,38,39,40,42,43,45,46,47,49,50,,,,,
413,2,2,3,4,6,8,9,10,12,13,14,14,15,16,17,18,19,21,21,25,26,28,29,29,31,32,35,35,37,38,38,39,40,41,43,,,,,
427,2,2,4,4,6,7,7,8,10,12,13,14,15,17,17,18,19,20,21,24,25,26,27,29,31,32,34,35,36,37,39,41,42,43,45,,,,,
388,3,4,6,8,10,13,16,17,18,19,20,21,23,24,26,28,30,30,31,32,34,34,35,36,37,40,40,42,42,43,45,47,50,51,51,52,,,,
389,1,2,2,3,4,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,34,36,37,38,39,,,,,
390,2,2,3,4,5,6,7,9,10,10,12,13,14,16,16,17,18,20,20,22,23,24,25,27,28,29,29,31,32,34,35,35,36,38,39,,,,,
431,1,2,3,5,6,6,8,9,10,12,12,13,14,15,16,17,17,19,20,20,21,24,25,26,27,27,28,29,30,31,31,32,34,35,,,,,,
