subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
117,17460,17460,15465,18435,18675,18210,18435,18555,19410,19410,19410,18360,19410,19410,17460,15690,20385,19410,19410,18945,17535,18435,18675,20385,19410,19905,19410,19410,20385,19410,20385,19410,19410,19410,18465,
129,18795,20385,18435,20385,19410,22515,18465,16515,18435,15555,16050,18465,18465,18465,16515,18465,18465,14625,15150,20385,15165,13575,15720,16275,18435,18465,17490,17760,17460,17700,17490,16515,,,,
108,6810,14565,12885,9510,9465,10470,9615,15540,11415,12750,12375,7245,4875,3930,6045,7905,8265,14355,8835,9855,8880,10980,7695,10635,10125,9735,4050,9915,10980,4950,9900,12720,3480,12405,9960,10920
126,15045,18435,18675,19650,20385,20385,19650,15360,19710,20385,18450,20385,20385,20385,19410,19650,20385,17460,20385,16725,19410,20385,19410,19695,19410,14685,20385,19650,19410,17970,18435,20385,19410,20385,19410,
115,14805,9270,8640,6780,1995,3705,6645,15900,16155,11550,11595,12360,13980,10995,9945,4035,11580,18435,17460,8655,7035,11760,16020,13575,3765,6960,6165,,,,,,,,,
116,11640,9345,10095,2910,7200,11460,15540,4770,5475,4380,7140,10710,7155,9750,10275,3345,4455,17490,11865,10335,13815,13590,8430,6030,6090,13035,14460,14685,1305,1260,510,270,3195,5460,7365,
144,13125,9135,3270,15390,18435,16320,19410,18435,20385,17460,20385,19410,20385,19410,18495,13425,19650,18435,19650,20385,19410,20385,20385,17460,19410,20385,19410,19410,20385,20385,17460,18555,19410,13740,17460,
226,8145,15540,18480,13590,17490,14610,16485,17955,15840,14850,11670,14535,13380,18945,12855,18555,16245,18435,15495,18465,17490,16785,17955,16515,16515,20385,12915,16515,17490,14835,13920,,,,,
221,15375,16275,19410,13785,12120,20385,17460,20385,20385,18195,17460,15270,20385,19410,18495,16020,17505,16020,16140,20385,19410,18435,18435,13665,13455,16905,16095,18195,16515,20385,18435,13860,18465,20385,,
175,15570,16785,15870,20385,19410,18435,6975,19410,20385,15810,16140,17460,11220,20385,18435,19410,20385,15750,16515,18090,16245,20385,18435,16995,16755,10770,16320,16995,12975,20385,11655,18945,19410,18435,,
230,4905,10200,10815,11790,14355,14340,8985,17115,15630,13395,14955,17520,15390,15570,12855,15975,13155,18435,17100,9165,17460,19410,19710,15210,15780,17460,18435,16020,15270,18195,9690,8985,16020,15870,16995,
177,13830,14295,14430,16605,16485,17955,17580,14535,19410,15630,16530,16485,17340,18945,18435,15015,16485,14070,16170,18435,15045,19410,18735,13620,17220,16905,15930,17460,16740,15270,14595,15150,16485,16485,17460,
184,11160,19410,19410,15225,19410,17250,14925,9615,11310,3225,7230,6060,5700,16065,15810,11655,16980,10620,11790,10905,10785,11430,15105,17730,12120,13155,15555,15045,7425,9105,17145,18555,14925,13785,,
197,18435,17700,18675,20385,20385,20385,20385,19410,20385,19035,17760,20385,20385,20145,14100,18330,17700,18435,17460,18435,17700,18435,16485,20385,17700,19410,20385,15630,17970,17970,16545,14115,17460,18000,15900,
