subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
155,14,16,18,16,16,17,16,16,14,15,14,14,14,14,18,19,19,18,17,18,20,18,19,19,20,19,19,19,19,19,19,,,,,,,,,,
122,14,14,15,16,18,17,19,20,22,22,20,21,21,20,20,19,20,19,19,22,21,21,21,19,19,19,20,20,19,20,21,22,22,19,20,,,,,,
137,15,14,14,15,17,17,18,18,19,20,20,20,20,15,18,19,19,19,17,17,19,19,21,20,19,20,20,21,19,19,19,21,22,,,,,,,,
151,15,18,16,20,21,19,19,18,20,19,21,22,20,21,21,20,20,22,22,22,21,21,22,22,21,20,23,21,20,21,22,22,22,23,22,,,,,,
130,14,14,14,17,18,20,20,19,20,20,20,21,21,20,22,22,21,22,22,21,22,22,22,22,22,19,22,22,22,,,,,,,,,,,,
238,14,15,17,18,18,19,20,21,19,19,19,19,20,19,19,19,20,20,20,21,21,21,22,21,22,21,22,22,22,23,24,24,21,22,22,22,,,,,
178,13,12,13,14,13,14,14,14,17,18,17,15,19,20,19,16,19,19,19,19,15,19,19,17,15,16,19,19,16,19,17,15,15,,,,,,,,
212,14,15,16,18,18,19,19,19,20,19,21,19,20,20,20,20,19,20,21,20,22,21,22,23,22,22,22,22,21,20,20,22,21,22,22,,,,,,
125,13,13,13,13,13,11,14,12,11,13,13,11,13,12,13,13,13,14,13,14,14,14,11,14,10,12,13,13,10,11,13,13,13,13,15,13,18,,,,
206,18,18,19,20,19,21,21,21,22,21,21,20,21,20,22,22,22,22,22,22,23,24,24,22,22,24,23,24,23,22,23,23,23,23,23,,,,,,
217,11,12,11,12,10,13,11,12,13,14,13,11,13,13,13,14,15,14,13,13,13,13,14,14,13,13,16,13,14,13,13,13,15,14,14,,,,,,
260,13,15,16,17,20,19,17,19,19,19,19,20,20,22,21,19,20,21,22,22,20,22,22,21,22,21,21,22,22,22,21,,,,,,,,,,
267,15,15,14,14,15,14,17,17,19,17,18,19,19,20,20,19,20,20,19,21,22,22,20,22,22,21,22,20,21,20,21,22,22,22,22,19,23,,,,
228,17,19,19,20,19,22,22,22,21,21,19,22,22,22,22,23,22,22,22,21,22,22,24,22,22,23,25,24,23,23,23,22,23,22,22,,,,,,
251,14,16,15,16,15,16,17,17,17,14,19,19,18,17,19,19,18,19,19,19,16,19,19,20,20,21,20,19,19,20,19,21,20,20,20,,,,,,
273,12,14,13,13,13,13,14,13,14,14,14,14,14,14,13,14,15,14,14,15,16,15,14,14,16,15,15,13,15,16,14,17,18,16,14,,,,,,
274,13,12,14,14,14,13,14,14,13,13,13,13,14,14,13,13,14,14,13,15,14,16,14,17,16,13,,,,,,,,,,,,,,,
288,13,15,13,14,15,15,15,15,13,15,17,19,20,19,20,19,19,19,19,19,16,15,17,14,16,18,19,19,19,19,19,19,16,17,16,17,,,,,
300,15,15,14,15,14,16,15,15,15,17,18,18,19,19,19,19,20,19,19,19,19,20,20,20,19,22,21,19,19,21,20,20,22,15,15,,,,,,
308,13,14,15,16,14,15,13,15,14,14,16,15,16,14,16,16,15,17,14,17,19,19,19,19,18,19,19,20,19,19,19,19,19,19,19,19,20,19,,,
316,14,17,15,15,15,16,17,19,15,14,18,19,18,16,19,20,19,17,17,17,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,
326,12,10,11,10,12,11,11,10,10,12,10,10,10,11,11,13,14,13,12,11,10,5,,,,,,,,,,,,,,,,,,,
332,12,12,13,11,11,14,13,14,14,14,13,14,13,14,15,14,14,13,15,14,13,14,13,13,13,14,14,15,,,,,,,,,,,,,
356,13,13,13,14,13,15,14,13,13,13,13,13,13,14,13,13,13,14,13,16,14,13,14,14,17,17,17,14,16,13,14,16,17,19,17,,,,,,
360,18,20,18,17,21,21,21,20,20,19,22,20,22,22,19,21,20,18,19,22,22,22,21,22,20,22,21,21,21,20,20,20,,,,,,,,,
381,14,14,15,16,16,18,19,18,19,21,21,18,21,20,19,18,19,18,21,20,22,21,19,19,20,21,21,19,22,22,22,21,21,20,20,,,,,,
385,13,14,15,14,14,15,14,17,17,18,19,15,19,17,19,19,19,19,19,20,19,19,19,18,15,15,20,18,19,19,21,19,19,19,,,,,,,
406,13,14,15,14,15,14,15,14,14,15,15,14,14,13,15,17,17,19,18,17,15,14,15,13,12,15,17,13,15,17,15,17,15,18,13,,,,,,
409,10,12,13,12,14,13,14,13,14,15,15,16,16,17,18,18,20,18,19,19,19,19,19,20,19,19,21,20,20,20,20,21,20,20,22,,,,,,
418,13,12,10,13,11,12,12,13,11,13,13,11,13,13,12,11,11,12,13,16,16,13,13,11,14,14,12,13,11,11,11,14,13,13,13,13,13,13,14,12,10
419,11,13,13,14,13,14,16,17,18,16,17,15,15,15,15,16,18,19,19,17,19,18,19,19,19,19,19,19,16,16,17,19,20,19,19,,,,,,
366,13,13,14,14,15,14,15,13,13,15,14,13,14,13,14,14,14,13,15,15,13,14,13,14,13,13,12,13,13,13,16,16,14,14,,,,,,,
430,19,20,21,20,19,19,22,22,22,22,20,22,22,22,23,23,22,24,23,23,22,22,24,25,25,25,25,26,25,25,25,25,25,26,25,,,,,,
