subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
102,4,6,7,7,10,12,14,14,15,15,15,16,18,19,20,20,22,22,22,22,25,26,25,25,,,,,,,,,,,,
103,4,7,9,7,7,7,8,15,16,16,16,17,20,18,17,18,17,17,16,17,18,18,18,18,17,18,17,17,17,17,17,17,17,17,17,16
104,3,7,7,8,8,8,8,9,9,8,9,9,8,8,9,9,9,9,9,7,9,11,10,9,7,8,9,9,8,8,9,7,7,,,
119,6,7,9,9,9,8,10,11,12,11,11,8,9,9,10,11,14,14,15,15,15,13,11,8,9,10,10,9,11,12,11,13,15,19,18,
128,3,4,4,5,5,5,5,5,5,5,6,5,5,5,6,4,4,5,5,5,5,6,5,5,6,4,5,2,5,9,7,7,7,6,,
138,5,7,9,9,10,15,18,20,20,26,23,23,22,24,24,24,23,24,26,25,25,26,25,24,24,24,25,25,26,26,,,,,,
139,5,9,10,14,14,14,12,12,14,14,14,12,9,9,9,9,10,15,15,14,16,17,17,17,18,17,17,17,17,19,20,22,23,26,26,
141,3,6,7,8,8,7,9,9,8,9,9,9,9,9,10,9,9,9,9,9,9,9,9,11,12,11,11,11,9,9,9,8,9,9,,
150,3,4,5,6,6,5,5,5,6,7,7,7,7,8,7,9,8,8,8,8,8,8,8,8,5,7,9,8,8,7,6,7,8,9,,
158,2,4,6,6,5,6,6,5,5,6,5,6,6,8,7,5,8,8,6,8,9,8,8,9,8,9,8,9,9,9,6,9,8,5,,
165,6,10,13,15,13,14,14,16,19,19,20,21,18,18,17,16,17,20,18,19,19,18,18,19,18,19,19,20,20,23,22,21,17,16,,
171,6,9,9,9,8,11,12,12,12,9,9,9,9,11,12,14,12,11,13,15,12,12,12,13,11,14,15,12,12,13,15,14,,,,
183,5,6,9,9,9,10,10,11,10,11,11,11,13,12,11,12,11,10,12,12,13,12,12,11,11,13,13,,,,,,,,,
193,5,7,8,9,9,11,11,10,9,12,12,11,11,12,11,11,11,13,15,12,11,11,12,13,12,13,11,12,14,12,13,,,,,
199,3,5,6,6,5,6,6,6,7,6,8,7,8,6,9,9,8,8,8,8,8,8,9,9,7,9,8,8,5,6,6,6,8,8,8,
216,7,8,9,8,9,9,9,12,13,11,12,9,11,12,12,13,12,12,12,15,12,15,16,19,18,17,15,17,18,22,24,23,23,20,,
222,4,5,7,8,9,11,11,14,14,15,17,17,15,16,18,19,17,17,17,17,15,15,18,19,21,20,19,18,18,17,20,21,23,21,,
224,6,9,9,9,10,9,9,9,10,13,15,19,19,18,20,20,21,21,20,20,20,21,20,17,21,21,20,21,21,20,19,19,19,20,20,
236,3,5,5,7,9,8,9,8,6,8,12,10,8,9,10,10,10,11,11,10,9,11,11,10,10,11,13,13,13,11,11,12,14,14,14,
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,2,4,4,1,2,3,
270,4,8,12,14,13,15,14,17,18,17,17,21,22,19,19,17,17,20,17,20,21,20,20,20,21,23,23,24,21,21,24,25,29,29,30,
277,8,10,8,12,17,19,22,25,25,22,22,24,27,25,20,21,22,21,19,21,23,23,16,13,12,6,8,5,8,8,6,7,8,11,14,
309,3,5,6,6,8,8,6,5,5,6,5,5,5,7,7,6,5,5,5,6,6,4,3,4,5,,,,,,,,,,,
317,3,4,6,8,8,9,8,7,9,9,8,8,8,9,9,9,8,9,9,9,9,11,12,11,11,14,15,13,,,,,,,,
321,5,9,11,11,11,11,9,14,13,12,11,12,12,13,14,14,13,14,13,14,14,15,15,15,15,13,13,12,14,16,16,17,17,18,19,15
340,5,5,6,8,8,6,7,6,8,7,9,8,8,7,7,8,8,8,8,7,7,8,8,8,8,8,8,8,8,9,9,11,11,11,14,
345,7,11,15,16,19,21,22,25,27,27,28,28,27,28,29,30,31,32,33,33,34,36,,,,,,,,,,,,,,
369,4,11,14,17,22,22,24,26,28,29,29,28,26,26,26,29,32,33,32,33,35,34,35,32,32,32,32,33,33,33,32,33,33,34,36,
399,3,6,7,6,5,7,7,8,9,8,8,9,8,8,9,9,9,9,9,8,6,7,7,7,5,6,5,6,9,8,9,6,9,8,8,
271,4,4,5,5,5,5,5,7,8,8,9,2,4,5,7,5,7,4,1,4,3,5,8,13,17,15,13,12,16,15,14,15,13,9,9,
323,3,5,8,9,9,9,12,11,9,9,9,11,12,13,14,13,13,13,12,15,15,16,16,15,15,14,14,16,18,17,17,17,18,17,,
358,5,7,9,9,9,9,9,9,9,9,9,10,12,12,14,13,17,16,17,17,15,16,18,17,17,18,20,22,23,22,20,21,21,,,
411,4,7,9,8,9,8,9,9,9,9,9,10,9,11,15,15,14,14,13,13,14,13,12,13,13,15,15,15,15,,,,,,,
