subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
117,930,555,945,675,780,645,960,675,735,1005,1080,1815,915,960,1575,1035,720,795,1140,1455,960,810,750,960,915,795,960,915,1230,900,1995,1155,1215,1215,2865,
129,885,450,450,255,660,375,645,180,255,285,30,120,375,240,195,120,375,195,180,195,120,180,315,255,225,105,90,90,180,120,105,90,,,,
108,630,540,870,585,735,1680,510,1395,1350,510,450,735,960,330,705,675,240,135,660,390,555,630,360,495,900,900,810,540,375,495,345,585,1290,705,,
126,750,1035,615,960,1755,1170,1770,750,2715,1935,1080,855,1560,1005,1635,1620,1230,2115,2130,1875,900,1515,2595,2445,1260,1860,1335,945,1860,2790,1050,345,480,2025,2730,
115,375,795,255,285,255,150,225,690,660,375,1095,510,675,345,570,390,885,1080,495,825,420,345,870,330,555,330,315,,,,,,,,,
116,870,840,615,570,300,945,420,675,300,465,270,1035,600,480,510,600,480,405,885,300,1020,750,495,345,285,255,270,255,345,495,465,255,900,60,1155,
144,915,885,960,2595,2475,1245,1305,1155,1290,1575,3090,2310,2610,900,3165,1065,2160,915,4005,2955,555,4065,1380,2040,2415,2700,1305,2055,1545,1785,2415,1170,1875,1815,2865,
226,1020,555,1035,660,1185,1440,1650,1260,990,645,1545,855,2475,2445,1575,915,855,1140,450,705,930,840,735,1125,600,585,930,1185,975,1290,360,840,,,,
221,855,765,510,1635,1020,1455,1035,1245,1110,1020,1155,1095,1875,1470,1410,2370,1785,2925,675,1740,2565,1485,3960,1650,2070,1665,2445,2895,2325,3540,1770,630,1155,1275,915,
175,1275,1170,1920,4185,1410,2100,345,780,1545,1320,1620,270,480,2505,1110,1320,1950,600,945,2220,1410,1275,960,1500,2610,945,285,645,285,975,555,1935,1095,1125,1875,1770
230,975,765,1395,615,915,1140,1230,1335,975,1035,2490,2850,2775,2535,2295,2625,1740,4500,3960,1365,2745,3045,2895,3045,3030,1860,2025,1710,2070,750,2445,3060,1905,2970,5850,
177,1005,2955,1770,1800,2535,2805,660,780,4815,2130,825,1035,1185,1695,3120,2775,645,1875,885,2940,1455,2040,660,1425,2145,885,2070,810,2790,930,2295,1635,1905,1080,1620,
184,870,270,435,300,1005,1005,1860,705,4305,2475,315,1230,180,495,690,165,3135,915,435,210,1140,930,1620,510,540,1500,690,1245,720,3570,1095,750,390,300,3165,600
197,3315,1995,1335,3330,4785,9330,2070,3360,5625,4800,2235,6045,3300,4035,1845,4680,2820,3375,1980,2835,1905,780,4290,2010,2205,2445,2205,705,1560,1935,720,,,,,
248,1110,810,1470,330,1845,900,1485,1920,2565,3210,3090,2145,1095,1020,1065,1500,495,1350,1890,1410,1230,1500,855,1125,1710,1935,1350,1080,1275,1230,855,1005,1725,690,900,
201,2220,1920,1530,1590,1785,1740,1425,1200,3285,1920,2730,1710,4530,705,1200,3060,3255,2250,5400,1695,1065,3330,4065,1755,3765,2745,3045,6555,3840,4125,6195,6525,5865,3525,2895,
210,1245,1170,375,435,510,780,780,675,1065,1170,810,1065,2190,1455,420,300,975,390,135,345,165,45,540,195,435,120,165,315,1305,165,255,105,150,90,60,
256,1305,1380,1095,1110,2355,1005,1140,1890,1755,795,1410,1800,2910,1650,2160,1350,2010,1650,1020,4815,2385,3735,1635,2415,1425,3435,2040,1605,3915,2835,3450,2055,4140,1515,1050,
275,2730,1080,750,1815,570,630,510,1335,600,330,1230,1815,2490,990,1245,555,1365,2055,870,1020,2775,2595,4320,2310,4515,6540,3135,6075,3945,7305,3435,3570,2040,,,
285,1155,1095,1455,615,645,675,1410,435,375,360,1110,720,930,2370,360,1650,1215,1680,1275,345,495,960,645,420,510,675,675,615,600,555,585,1650,885,1260,915,
252,90,0,30,0,0,0,15,0,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,0,0,0,0,0,0,,
264,255,225,345,435,285,285,135,270,180,285,315,345,360,465,540,720,405,360,495,375,405,645,735,720,855,900,780,765,765,465,885,690,525,375,225,
278,975,210,390,240,660,390,540,375,405,1875,225,465,630,1560,435,450,1395,315,285,510,315,975,285,1230,615,615,495,465,,,,,,,,
