subject,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
155,5,7,7,7,7,7,7,7,7,8,9,7,9,8,7,7,7,8,7,8,9,8,9,10,9,7,8,8,8,8,9,7,,,,
122,5,7,7,7,7,7,8,9,11,9,10,8,10,10,11,9,10,10,10,10,10,10,9,10,9,10,10,10,11,9,8,10,11,10,10,
137,7,5,7,7,7,7,7,7,7,8,8,8,7,8,7,7,9,8,8,9,8,7,8,8,7,8,7,9,8,7,7,8,,,,
151,7,7,7,7,8,8,10,10,10,10,10,10,10,8,10,10,10,11,10,11,10,11,10,10,10,11,11,12,10,12,11,10,11,11,11,
130,7,6,7,7,7,7,7,7,7,7,7,8,9,7,9,7,8,7,8,7,8,8,10,7,10,9,5,10,,,,,,,,
238,7,7,8,8,7,8,8,7,7,8,8,8,9,9,9,8,8,8,8,8,9,9,10,8,7,9,10,10,10,10,10,10,10,7,,
178,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,8,8,8,7,7,7,7,9,8,,,,,,,
212,5,5,7,6,7,7,7,7,7,8,7,7,7,7,7,7,8,9,9,8,8,10,10,8,10,10,8,9,10,10,9,9,10,10,10,
125,5,4,4,4,5,5,5,5,5,5,4,5,5,7,5,5,4,5,5,5,4,4,6,6,6,4,6,4,4,6,6,5,6,,,
206,7,7,8,7,8,8,8,9,10,10,8,8,10,9,10,12,11,12,10,10,9,10,11,10,12,12,10,13,12,11,13,12,13,12,13,
217,5,4,7,5,6,7,5,7,6,7,7,5,7,6,7,7,7,6,7,7,5,6,7,8,5,7,7,7,7,7,7,5,7,7,7,
260,6,7,7,7,7,7,7,8,8,7,8,8,7,7,7,8,9,7,7,8,8,8,9,8,8,7,8,10,9,9,7,8,8,,,
267,7,7,7,7,7,7,8,9,8,9,8,9,9,9,8,8,7,9,9,10,10,9,10,9,9,10,10,9,9,9,11,10,10,,,
228,8,9,10,10,10,10,11,12,13,11,12,13,13,13,13,13,13,12,13,13,13,13,13,12,11,14,13,13,12,12,10,13,12,13,13,
251,6,5,7,7,7,8,7,7,8,7,8,9,8,7,8,10,9,7,8,8,8,8,9,9,8,8,10,8,10,8,9,9,9,10,10,
273,5,6,7,7,8,8,8,7,7,9,9,8,9,11,10,9,10,10,9,12,12,12,12,12,12,11,9,11,7,8,8,10,12,12,11,
274,5,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,,,,,,,,,,
288,5,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,8,7,7,8,7,7,7,8,8,8,8,7,7,,,,
300,5,7,7,7,7,8,7,7,7,8,7,7,7,7,8,7,7,7,7,10,7,7,7,7,7,8,6,6,7,8,7,7,7,7,6,
308,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,8,8,,,,
316,7,7,7,7,7,8,9,8,8,8,8,8,8,9,7,9,9,9,8,10,8,8,8,10,8,10,9,,,,,,,,,
326,4,5,4,4,4,5,4,4,4,4,6,5,4,5,6,5,6,5,6,4,4,5,4,4,6,5,7,7,7,5,5,4,4,4,,
332,4,5,5,4,4,5,4,4,6,6,6,6,6,6,6,7,6,6,7,7,4,7,7,7,7,7,7,7,,,,,,,,
356,5,6,5,5,7,7,7,6,7,7,7,7,5,7,9,9,8,8,7,7,8,7,7,8,6,7,8,7,7,7,7,7,7,10,8,
360,7,9,8,8,8,6,7,8,9,10,10,11,9,9,10,10,10,11,11,10,9,9,8,11,10,10,10,9,9,9,9,13,,,,
381,4,4,6,7,6,7,6,7,7,8,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,4,8,,
385,5,6,5,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,8,7,7,7,8,7,7,7,8,7,7,7,7,7,7,7,7,7
406,6,4,5,7,5,7,7,6,5,5,7,6,5,4,5,7,7,8,7,7,7,7,7,7,6,7,7,7,7,7,7,8,7,7,7,
409,5,4,6,6,6,5,6,6,7,7,7,7,7,7,7,8,7,7,8,8,9,7,8,8,7,8,8,8,9,7,9,8,8,7,8,
418,4,4,4,4,5,6,5,5,5,4,4,6,5,6,5,6,5,5,7,7,6,5,7,6,4,6,6,6,7,,,,,,,
419,5,5,4,7,7,5,5,7,8,7,7,7,8,7,7,8,7,7,7,9,8,8,9,8,8,9,9,9,7,8,7,8,7,8,7,
366,5,5,6,5,7,6,5,6,5,5,4,5,5,6,5,5,5,4,4,4,5,4,4,4,4,5,5,5,,,,,,,,
430,7,10,10,9,10,10,10,9,10,12,10,10,11,11,12,11,11,12,11,10,11,11,11,11,13,12,12,11,13,13,12,13,13,13,13,
